order_id,order_date,customer_segment,region,category,sub_category,sales_amount,profit,quantity,discount
ORD-1023,2023-02-03,Corporate,West,Office Supplies,Binders,132.04,33.53,6,0.1
ORD-1024,2023-02-05,Consumer,Central,Technology,Phones,151.05,17.72,7,0.1
ORD-1025,2023-02-06,Corporate,South,Technology,Phones,607.09,127.36,5,0.0
ORD-1026,2023-02-08,Corporate,East,Technology,Accessories,502.58,40.07,6,0.15
ORD-1027,2023-02-09,Corporate,East,Furniture,Bookcases,147.75,-5.25,5,0.2
ORD-1028,2023-02-10,Corporate,East,Furniture,Chairs,107.38,17.17,7,0.0
ORD-1029,2023-02-12,Consumer,Central,Furniture,Chairs,158.85,5.16,2,0.0
ORD-1030,2023-02-13,Consumer,Central,Office Supplies,Storage,175.72,29.4,5,0.15
ORD-1031,2023-02-15,Home Office,East,Furniture,Bookcases,96.44,-0.52,6,0.15
ORD-1032,2023-02-16,Corporate,South,Office Supplies,Storage,250.26,26.47,6,0.1
ORD-1033,2023-02-18,Home Office,Central,Office Supplies,Binders,194.51,8.59,5,0.15
ORD-1034,2023-02-19,Consumer,East,Furniture,Chairs,164.41,26.31,7,0.1
ORD-1035,2023-02-21,Consumer,East,Office Supplies,Storage,143.96,10.92,8,0.0
ORD-1036,2023-02-22,Consumer,South,Furniture,Chairs,328.86,24.07,7,0.05
ORD-1037,2023-02-24,Consumer,West,Furniture,Tables,132.1,5.77,5,0.2
ORD-1038,2023-02-25,Consumer,Central,Technology,Laptops,715.41,56.75,1,0.0
ORD-1039,2023-02-27,Consumer,South,Furniture,Bookcases,236.28,26.23,5,0.15
ORD-1040,2023-02-28,Consumer,East,Technology,Laptops,225.23,4.21,2,0.2
ORD-1041,2023-03-01,Corporate,East,Furniture,Chairs,283.65,54.79,5,0.05
ORD-1042,2023-03-03,Home Office,South,Furniture,Bookcases,493.5,49.2,5,0.05
ORD-1043,2023-03-04,Consumer,Central,Technology,Phones,144.71,25.3,2,0.1
ORD-1044,2023-03-06,Corporate,West,Technology,Phones,299.79,19.0,5,0.2
ORD-1045,2023-03-07,Corporate,West,Furniture,Tables,292.5,29.28,4,0.1
ORD-1046,2023-03-09,Home Office,East,Office Supplies,Binders,379.11,47.45,1,0.0
ORD-1047,2023-03-10,Consumer,Central,Technology,Laptops,179.95,3.16,3,0.2
ORD-1048,2023-03-12,Home Office,West,Office Supplies,Binders,362.62,77.13,1,0.0
ORD-1049,2023-03-13,Consumer,Central,Office Supplies,Binders,136.61,-13.82,5,0.1
ORD-1050,2023-03-15,Corporate,Central,Office Supplies,Storage,34.48,2.33,4,0.2
ORD-1051,2023-03-16,Corporate,East,Technology,Phones,66.32,-16.81,7,0.1
ORD-1052,2023-03-18,Corporate,West,Office Supplies,Paper,215.44,46.24,5,0.2
ORD-1053,2023-03-19,Corporate,South,Technology,Phones,352.44,30.19,4,0.1
ORD-1054,2023-03-20,Home Office,East,Office Supplies,Paper,226.07,27.76,2,0.05
ORD-1055,2023-03-22,Consumer,West,Furniture,Tables,235.65,15.76,4,0.1
ORD-1056,2023-03-23,Consumer,West,Furniture,Chairs,296.62,32.64,2,0.05
ORD-1057,2023-03-25,Home Office,West,Technology,Accessories,287.04,83.75,8,0.1
ORD-1058,2023-03-26,Consumer,West,Furniture,Bookcases,421.29,24.03,3,0.2
ORD-1059,2023-03-28,Corporate,West,Furniture,Chairs,155.79,11.14,9,0.2
ORD-1060,2023-03-29,Consumer,Central,Office Supplies,Paper,270.56,52.97,4,0.2
ORD-1061,2023-03-31,Corporate,East,Technology,Accessories,477.6,105.27,6,0.15
ORD-1062,2023-04-01,Home Office,Central,Office Supplies,Storage,270.28,34.78,5,0.0
ORD-1063,2023-04-03,Consumer,South,Office Supplies,Binders,429.5,29.46,1,0.2
ORD-1064,2023-04-04,Home Office,West,Office Supplies,Storage,160.36,9.65,9,0.05
ORD-1065,2023-04-06,Consumer,East,Office Supplies,Binders,365.65,74.62,1,0.2
ORD-1066,2023-04-07,Corporate,West,Office Supplies,Binders,367.47,33.48,8,0.15
ORD-1067,2023-04-08,Home Office,East,Office Supplies,Binders,63.25,-16.97,9,0.05
ORD-1068,2023-04-10,Consumer,Central,Office Supplies,Binders,252.18,15.96,9,0.15
ORD-1069,2023-04-11,Corporate,East,Technology,Laptops,236.4,4.9,1,0.05
ORD-1070,2023-04-13,Home Office,South,Furniture,Chairs,342.17,38.35,2,0.1
ORD-1071,2023-04-14,Home Office,South,Office Supplies,Storage,237.8,22.93,1,0.0
ORD-1072,2023-04-16,Consumer,East,Office Supplies,Binders,778.57,163.47,2,0.0
ORD-1073,2023-04-17,Consumer,East,Office Supplies,Storage,541.12,133.4,8,0.15
ORD-1074,2023-04-19,Consumer,East,Office Supplies,Storage,300.11,51.37,5,0.0
ORD-1075,2023-04-20,Corporate,East,Office Supplies,Binders,247.72,15.24,7,0.15
ORD-1076,2023-04-22,Consumer,South,Office Supplies,Paper,96.39,-19.53,2,0.15
ORD-1077,2023-04-23,Home Office,West,Furniture,Tables,238.27,5.8,8,0.15
ORD-1078,2023-04-25,Home Office,East,Furniture,Chairs,226.68,52.22,6,0.0
ORD-1079,2023-04-26,Consumer,East,Office Supplies,Storage,746.54,179.35,8,0.15
ORD-1080,2023-04-27,Consumer,South,Furniture,Chairs,289.36,-7.08,1,0.0
ORD-1081,2023-04-29,Home Office,South,Technology,Phones,386.06,102.91,1,0.15
ORD-1082,2023-04-30,Corporate,Central,Office Supplies,Paper,145.89,-17.19,7,0.2
ORD-1083,2023-05-02,Consumer,East,Technology,Accessories,345.16,45.28,8,0.15
ORD-1084,2023-05-03,Consumer,Central,Technology,Accessories,31.1,-4.36,3,0.05
ORD-1085,2023-05-05,Home Office,South,Office Supplies,Paper,426.0,122.94,5,0.15
ORD-1086,2023-05-06,Consumer,South,Furniture,Chairs,123.28,7.95,1,0.1
ORD-1087,2023-05-08,Corporate,West,Technology,Laptops,97.5,9.91,7,0.15
ORD-1088,2023-05-09,Home Office,East,Office Supplies,Paper,3920.0,690.27,5,0.05
ORD-1089,2023-05-11,Consumer,Central,Technology,Laptops,336.63,65.74,8,0.05
ORD-1090,2023-05-12,Home Office,South,Technology,Phones,193.45,5.85,8,0.0
ORD-1091,2023-05-14,Consumer,South,Technology,Laptops,106.13,21.06,9,0.2
ORD-1092,2023-05-15,Consumer,Central,Technology,Accessories,288.2,35.96,7,0.15
ORD-1093,2023-05-16,Consumer,West,Furniture,Chairs,125.04,23.43,1,0.0
ORD-1094,2023-05-18,Corporate,South,Technology,Phones,192.55,7.24,3,0.2
ORD-1095,2023-05-19,Corporate,East,Technology,Phones,136.49,15.78,8,0.15
ORD-1096,2023-05-21,Home Office,South,Technology,Phones,233.44,25.7,3,0.1
ORD-1097,2023-05-22,Consumer,East,Furniture,Tables,198.68,47.86,8,0.15
ORD-1098,2023-05-24,Consumer,Central,Technology,Phones,234.23,1.37,1,0.05
ORD-1099,2023-05-25,Corporate,East,Technology,Accessories,755.98,66.19,5,0.05
ORD-1100,2023-05-27,Consumer,Central,Furniture,Bookcases,98.92,-9.53,4,0.1
ORD-1101,2023-05-28,Corporate,East,Furniture,Chairs,451.01,52.21,5,0.0
ORD-1102,2023-05-30,Consumer,Central,Furniture,Bookcases,20.38,-24.31,8,0.2
ORD-1103,2023-05-31,Home Office,East,Technology,Phones,93.51,-20.72,4,0.15
ORD-1104,2023-06-02,Consumer,West,Furniture,Chairs,241.07,70.33,4,0.05
ORD-1105,2023-06-03,Consumer,East,Furniture,Bookcases,194.35,27.45,3,0.0
ORD-1106,2023-06-04,Corporate,East,Technology,Phones,289.97,36.37,7,0.1
ORD-1107,2023-06-06,Consumer,West,Furniture,Bookcases,169.46,22.93,3,0.05
ORD-1108,2023-06-07,Consumer,South,Technology,Laptops,204.37,27.84,3,0.1
ORD-1109,2023-06-09,Corporate,South,Office Supplies,Paper,201.89,21.2,5,0.15
ORD-1110,2023-06-10,Home Office,East,Furniture,Tables,217.27,38.77,5,0.2
ORD-1111,2023-06-12,Home Office,West,Office Supplies,Storage,226.5,44.69,6,0.05
ORD-1112,2023-06-13,Corporate,East,Technology,Laptops,196.75,5.11,8,0.05
ORD-1113,2023-06-15,Corporate,Central,Furniture,Tables,170.72,37.21,6,0.15
ORD-1114,2023-06-16,Corporate,Central,Technology,Accessories,184.77,23.93,1,0.0
ORD-1115,2023-06-18,Corporate,East,Office Supplies,Binders,245.48,54.68,8,0.2
ORD-1116,2023-06-19,Corporate,South,Technology,Laptops,248.09,7.86,8,0.05
ORD-1117,2023-06-21,Home Office,South,Furniture,Bookcases,138.48,18.25,9,0.2
ORD-1118,2023-06-22,Home Office,East,Furniture,Tables,112.81,-6.67,9,0.05
ORD-1119,2023-06-23,Corporate,East,Office Supplies,Storage,61.1,-23.54,2,0.2
ORD-1120,2023-06-25,Consumer,Central,Technology,Laptops,536.89,59.04,2,0.1
ORD-1121,2023-06-26,Corporate,South,Furniture,Bookcases,88.77,-20.55,3,0.05
ORD-1122,2023-06-28,Consumer,East,Office Supplies,Storage,123.47,29.65,1,0.2
ORD-1123,2023-06-29,Corporate,Central,Furniture,Tables,328.18,83.83,4,0.0
ORD-1124,2023-07-01,Corporate,South,Furniture,Tables,76.86,-8.39,4,0.1
ORD-1125,2023-07-02,Home Office,West,Technology,Laptops,56.47,-13.59,9,0.1
ORD-1126,2023-07-04,Consumer,Central,Furniture,Chairs,149.77,13.33,9,0.0
ORD-1127,2023-07-05,Consumer,South,Technology,Phones,367.14,62.99,9,0.2
ORD-1128,2023-07-07,Home Office,South,Furniture,Chairs,209.31,64.61,7,0.15
ORD-1129,2023-07-08,Home Office,Central,Office Supplies,Storage,636.93,33.78,2,0.0
ORD-1130,2023-07-10,Home Office,West,Furniture,Tables,313.76,87.67,5,0.2
ORD-1131,2023-07-11,Home Office,Central,Technology,Accessories,85.4,4.58,4,0.0
ORD-1132,2023-07-12,Consumer,South,Technology,Phones,226.78,34.61,8,0.0
ORD-1133,2023-07-14,Consumer,East,Office Supplies,Binders,63.41,0.41,2,0.05
ORD-1134,2023-07-15,Corporate,East,Furniture,Bookcases,293.85,57.71,6,0.2
ORD-1135,2023-07-17,Corporate,Central,Furniture,Tables,157.73,27.05,5,0.15
ORD-1136,2023-07-18,Home Office,South,Office Supplies,Storage,289.84,86.88,2,0.05
ORD-1137,2023-07-20,Home Office,East,Furniture,Tables,502.79,70.28,1,0.0
ORD-1138,2023-07-21,Home Office,South,Furniture,Chairs,491.3,69.95,8,0.0
ORD-1139,2023-07-23,Corporate,Central,Technology,Phones,193.34,24.06,2,0.0
ORD-1140,2023-07-24,Corporate,East,Furniture,Tables,337.01,74.77,7,0.2
ORD-1141,2023-07-26,Corporate,South,Furniture,Bookcases,171.02,-1.67,9,0.2
ORD-1142,2023-07-27,Corporate,East,Office Supplies,Paper,240.34,37.81,9,0.05
ORD-1143,2023-07-29,Corporate,Central,Office Supplies,Paper,69.75,1.64,8,0.15
ORD-1144,2023-07-30,Corporate,South,Technology,Phones,125.1,18.78,9,0.05
ORD-1145,2023-07-31,Corporate,East,Furniture,Tables,297.44,11.1,2,0.1
ORD-1146,2023-08-02,Home Office,Central,Furniture,Tables,56.46,-24.05,6,0.0
ORD-1147,2023-08-03,Home Office,East,Furniture,Bookcases,226.03,45.81,4,0.0
ORD-1148,2023-08-05,Home Office,East,Technology,Accessories,237.59,9.91,4,0.0
ORD-1149,2023-08-06,Home Office,West,Technology,Accessories,302.96,17.71,5,0.05
ORD-1150,2023-08-08,Corporate,West,Office Supplies,Binders,70.05,2.73,3,0.05
ORD-1151,2023-08-09,Consumer,Central,Technology,Laptops,59.98,1.61,1,0.0
ORD-1152,2023-08-11,Corporate,West,Furniture,Bookcases,370.02,91.36,8,0.05
ORD-1153,2023-08-12,Consumer,Central,Furniture,Bookcases,237.7,14.51,5,0.2
ORD-1154,2023-08-14,Home Office,West,Technology,Laptops,172.51,16.78,3,0.2
ORD-1155,2023-08-15,Corporate,East,Furniture,Bookcases,67.67,-7.65,7,0.05
ORD-1156,2023-08-17,Home Office,Central,Furniture,Chairs,165.19,22.88,7,0.0
ORD-1157,2023-08-18,Corporate,Central,Technology,Laptops,100.44,-0.78,1,0.05
ORD-1158,2023-08-19,Home Office,East,Technology,Accessories,359.26,59.81,9,0.05
ORD-1159,2023-08-21,Consumer,Central,Furniture,Tables,83.23,-0.1,2,0.05
ORD-1160,2023-08-22,Consumer,Central,Furniture,Chairs,185.12,-5.39,5,0.1
ORD-1161,2023-08-24,Consumer,West,Furniture,Tables,338.8,49.84,5,0.2
ORD-1162,2023-08-25,Corporate,Central,Office Supplies,Binders,304.79,76.07,8,0.15
ORD-1163,2023-08-27,Consumer,South,Office Supplies,Binders,159.38,-6.62,8,0.15
ORD-1164,2023-08-28,Corporate,East,Office Supplies,Binders,307.16,43.7,7,0.1
ORD-1165,2023-08-30,Consumer,West,Technology,Phones,339.12,48.27,7,0.05
ORD-1166,2023-08-31,Consumer,West,Office Supplies,Binders,231.3,48.88,6,0.1
ORD-1167,2023-09-02,Corporate,South,Technology,Laptops,277.16,26.45,6,0.1
ORD-1168,2023-09-03,Corporate,East,Technology,Accessories,186.67,24.19,9,0.0
ORD-1169,2023-09-05,Consumer,East,Office Supplies,Binders,397.44,47.39,6,0.2
ORD-1170,2023-09-06,Corporate,West,Office Supplies,Storage,203.0,8.38,2,0.15
ORD-1171,2023-09-07,Consumer,Central,Office Supplies,Paper,77.38,-25.31,2,0.05
ORD-1172,2023-09-09,Corporate,West,Furniture,Chairs,285.71,17.46,5,0.15
ORD-1173,2023-09-10,Home Office,East,Office Supplies,Paper,104.07,-2.9,4,0.15
ORD-1174,2023-09-12,Home Office,South,Furniture,Chairs,427.62,70.67,2,0.2
ORD-1175,2023-09-13,Home Office,West,Technology,Accessories,271.9,52.1,3,0.15
ORD-1176,2023-09-15,Home Office,East,Furniture,Tables,47.5,0.4,7,0.15
ORD-1177,2023-09-16,Home Office,West,Office Supplies,Paper,347.96,22.52,8,0.1
ORD-1178,2023-09-18,Consumer,Central,Technology,Laptops,252.49,31.83,6,0.2
ORD-1179,2023-09-19,Home Office,West,Technology,Accessories,320.76,58.95,5,0.0
ORD-1180,2023-09-21,Home Office,West,Technology,Accessories,219.53,24.86,1,0.05
ORD-1181,2023-09-22,Home Office,East,Furniture,Bookcases,416.35,43.47,8,0.15
ORD-1182,2023-09-24,Home Office,East,Office Supplies,Paper,135.93,0.63,3,0.05
ORD-1183,2023-09-25,Corporate,East,Technology,Laptops,357.47,83.95,6,0.0
ORD-1184,2023-09-26,Consumer,West,Technology,Laptops,257.02,60.29,3,0.05
ORD-1185,2023-09-28,Home Office,Central,Technology,Laptops,60.42,-24.58,7,0.0
ORD-1186,2023-09-29,Home Office,South,Furniture,Bookcases,56.19,-6.91,7,0.1
ORD-1187,2023-10-01,Home Office,South,Furniture,Chairs,176.45,37.49,9,0.15
ORD-1188,2023-10-02,Consumer,East,Office Supplies,Storage,124.52,11.78,5,0.0
ORD-1189,2023-10-04,Corporate,East,Furniture,Bookcases,47.31,-5.65,8,0.05
ORD-1190,2023-10-05,Consumer,West,Technology,Laptops,91.28,-12.2,8,0.15
ORD-1191,2023-10-07,Corporate,South,Office Supplies,Storage,192.41,1.58,1,0.1
ORD-1192,2023-10-08,Home Office,East,Technology,Laptops,122.63,-16.65,5,0.15
ORD-1193,2023-10-10,Home Office,Central,Technology,Phones,679.69,55.28,3,0.0
ORD-1194,2023-10-11,Consumer,Central,Furniture,Tables,137.82,-7.64,1,0.1
ORD-1195,2023-10-13,Consumer,East,Office Supplies,Paper,405.01,100.53,4,0.05
ORD-1196,2023-10-14,Corporate,East,Furniture,Tables,502.92,42.94,8,0.1
ORD-1197,2023-10-15,Corporate,South,Furniture,Bookcases,152.61,-17.65,3,0.1
ORD-1198,2023-10-17,Consumer,South,Office Supplies,Storage,144.27,21.66,2,0.2
ORD-1199,2023-10-18,Corporate,West,Technology,Phones,154.88,18.04,9,0.1
ORD-1200,2023-10-20,Consumer,South,Technology,Phones,192.12,16.08,5,0.1
ORD-1201,2023-10-21,Corporate,Central,Office Supplies,Paper,168.18,2.42,7,0.15
ORD-1202,2023-10-23,Consumer,Central,Technology,Laptops,93.81,-25.03,2,0.05
ORD-1203,2023-10-24,Consumer,East,Office Supplies,Binders,261.45,2.63,9,0.15
ORD-1204,2023-10-26,Consumer,South,Office Supplies,Paper,167.82,25.53,9,0.15
ORD-1205,2023-10-27,Corporate,West,Furniture,Bookcases,693.26,220.93,4,0.0
ORD-1206,2023-10-29,Corporate,Central,Office Supplies,Binders,360.8,28.69,4,0.15
ORD-1207,2023-10-30,Corporate,Central,Furniture,Tables,169.39,38.14,6,0.2
ORD-1208,2023-11-01,Consumer,West,Technology,Laptops,299.05,66.61,6,0.2
ORD-1209,2023-11-02,Corporate,West,Technology,Phones,292.5,63.39,1,0.0
ORD-1210,2023-11-03,Corporate,Central,Technology,Phones,388.52,65.91,9,0.05
ORD-1211,2023-11-05,Consumer,Central,Technology,Phones,56.74,-26.16,2,0.05
ORD-1212,2023-11-06,Home Office,West,Furniture,Chairs,87.63,-7.96,5,0.15
ORD-1213,2023-11-08,Consumer,Central,Technology,Phones,121.26,-1.44,9,0.15
ORD-1214,2023-11-09,Corporate,East,Office Supplies,Storage,212.25,19.0,4,0.15
ORD-1215,2023-11-11,Consumer,East,Office Supplies,Storage,118.65,-22.42,3,0.05
ORD-1216,2023-11-12,Home Office,West,Office Supplies,Paper,437.23,40.09,7,0.1
ORD-1217,2023-11-14,Consumer,South,Furniture,Tables,97.0,4.74,6,0.2
ORD-1218,2023-11-15,Corporate,West,Technology,Phones,246.25,10.83,8,0.1
ORD-1219,2023-11-17,Home Office,West,Technology,Accessories,255.79,36.87,3,0.1
ORD-1220,2023-11-18,Corporate,South,Technology,Accessories,270.83,81.63,5,0.05
ORD-1221,2023-11-20,Home Office,South,Furniture,Tables,321.04,17.05,4,0.1
ORD-1222,2023-11-21,Home Office,South,Office Supplies,Storage,374.07,81.35,4,0.0
ORD-1223,2023-11-22,Consumer,East,Office Supplies,Paper,482.51,91.66,4,0.15
ORD-1224,2023-11-24,Consumer,Central,Technology,Laptops,168.52,35.56,8,0.0
ORD-1225,2023-11-25,Corporate,East,Office Supplies,Paper,121.92,10.21,6,0.2
ORD-1226,2023-11-27,Consumer,Central,Office Supplies,Paper,272.77,68.61,3,0.15
ORD-1227,2023-11-28,Consumer,East,Furniture,Tables,270.03,73.85,5,0.1
ORD-1228,2023-11-30,Home Office,Central,Furniture,Chairs,338.99,75.24,6,0.2
ORD-1229,2023-12-01,Consumer,East,Furniture,Bookcases,71.92,-4.76,5,0.15
ORD-1230,2023-12-03,Home Office,South,Furniture,Chairs,327.65,34.69,6,0.1
ORD-1231,2023-12-04,Home Office,West,Technology,Laptops,81.09,0.5,8,0.0
ORD-1232,2023-12-06,Home Office,East,Furniture,Tables,250.09,63.42,7,0.15
ORD-1233,2023-12-07,Corporate,Central,Office Supplies,Binders,165.08,17.34,5,0.1
ORD-1234,2023-12-09,Corporate,South,Technology,Phones,413.46,24.1,6,0.0
ORD-1235,2023-12-10,Corporate,East,Office Supplies,Binders,74.99,16.25,4,0.2
ORD-1236,2023-12-11,Home Office,East,Office Supplies,Binders,237.1,37.15,9,0.2
ORD-1237,2023-12-13,Corporate,South,Office Supplies,Paper,271.28,60.45,4,0.2
ORD-1238,2023-12-14,Corporate,East,Furniture,Bookcases,169.34,-0.62,1,0.2
ORD-1239,2023-12-16,Consumer,West,Furniture,Chairs,236.97,34.97,7,0.05
ORD-1240,2023-12-17,Corporate,East,Technology,Laptops,156.56,20.75,7,0.15
ORD-1241,2023-12-19,Corporate,West,Technology,Laptops,230.47,53.42,4,0.15
ORD-1242,2023-12-20,Home Office,West,Furniture,Chairs,264.97,1.23,3,0.05
ORD-1243,2023-12-22,Home Office,South,Office Supplies,Storage,151.75,19.04,8,0.1
ORD-1244,2023-12-23,Home Office,East,Technology,Laptops,196.67,61.77,5,0.1
ORD-1245,2023-12-25,Home Office,South,Furniture,Tables,42.61,-35.05,7,0.2
ORD-1246,2023-12-26,Home Office,East,Furniture,Tables,164.51,49.62,4,0.0
ORD-1247,2023-12-28,Home Office,East,Furniture,Chairs,89.62,-11.25,4,0.1
ORD-1248,2023-12-29,Corporate,Central,Office Supplies,Binders,190.95,21.23,8,0.0
ORD-1249,2023-12-31,Home Office,East,Furniture,Bookcases,396.01,103.69,8,0.15
